國 之 有 史 尙 矣	Nước có sử đã từ lâu	
賜 大 寶 壬 戌 科 同 進 士 禮 部 右 侍 郎 朝 列 大 夫 兼 兼 史 官 修 吳 士 連 序	Tứ Đại Bảo Nhâm Tuất khoa đồng Tiến sĩ Lễ bộ Hữu thị lang Triều liệt đại phu kiêm Quốc tử giám tư nghiệp kiêm Sử quan tu soạn Ngô Sĩ Liên đề tựa	
擬 進 大 越 史 記 全 書	Biểu Dâng Sách Đại Việt Sử Ký Toàn Thư	
禮 部 右 侍 郎 朝 列 大 夫 兼 國 子 監 司 業 兼 史 官 修 撰 臣 吳 士 連 兹 者 伏 聖 恩 除 臣 舘 職 臣 取 前 大 越 史 記 二 書 參 以 野 史 輯 成 大 越 史 記 全 書 謹 謄 為 十 五 卷 奏 進	Lễ bộ hữu thị lang triều liệt đại phu kiêm Quốc tử giám tư nghiệp kiêm Sử quan tu soạn thần Ngô Sĩ Liên nay đội ơn thánh thượng cất nhắc cho thần chức vụ ở Sử quán thần đem hai bộ Đại Việt Sử Ký trước đây tham khảo thêm các dã sử soạn thành sách Đại Việt Sử Ký Toàn Thư kính cẩn chép làm mười năm quyển dâng tiến	
臣 吳 士 連 成 惶 誠 恐 首 頓 首 上 言 伏 以	Thần Ngô Sĩ Liên thật là sợ hãi cúi đầu rập đầu dâng lời tâu Cúi nghĩ	
文 風 大 振 適 當 景 運 之 興 史 筆 重 修 載 纂 歷 朝 之 紀	Văn phong nổi mạnh vừa khi vận lớn dấy lên sử bút trau rồi soạn chép mối rường đời trước	
俯 殫 管 見 達 隆 知	Cúi thấp nhìn hẹp mạo muội dâng đạt bệ rồng xét soi	
臣 竊 惟 古 有 信 書 國 之 大 典 所 以 紀 國 綂 之 離 所 以 明 治 化 之 隆 污	Thần trộm nghĩ Ngày xưa sách làm tin là điển lớn của nước để ghi chép quốc thống lúc lìa lúc hợp để tỏ rõ trị hoá khi thịnh khi suy	
盖 垂 監 戒 於 來 特 著 幾 徵 於 既 徃	Ấy là muốn treo gương răn cho đời sau há chỉ chép cơ vi về dĩ vãng	
必 善 惡 具 形 褒 貶 始 足 示 於 勸 懲	Ắt là thiện ác phải làm rõ ràng trong khen chê thì người sau mới biết ý khuyên răn	
必 翰 墨 久 役 心 神 方 可 觀 於 著 述 非 苟 作 者 易 言 哉	Ắt là bút mực phải phục dịch nhiều cho tâm thần thì trước thuật mới gọi là xem được không thể làm cẩu thả há đâu nói dễ dàng	
鷖 大 越 史 記 之 書 載 前 代 帝 王 之 正	Sách Đại Việt Sử Ký chép chính sự của đế vương thời trước	
粤 肇 南 之 繼 嗣 實 與 北 朝 而 抗 衡	Kể từ khi kế nối mở cõi nước Nam thật đối ngang triều Bắc	
綂 緒 之 傳 億 萬 年 與	Dòng mối ức vạn năm với	
天 罔 極 英 明 之 君 六 七 作 于 古 有 光	Trời không cùng vua giỏi sáu bảy vị so xưa có sáng	
雖 強 弱 時 或 不 同 而 豪 傑 世 未 嘗 乏	Tuy mạnh yếu có lúc khác nhau mà hào kiệt đời nào cũng có	
觀 之 在 昔 厥 有 可	Thử xem thời trước có thể xét tra	
吳 氏 以 前 慨 亂 多 而 治 少 李 氏 而 後 漸 世 变 以 風 移	Nhà Ngô về trước đại khái loạn nhiều mà trị ít nhà Lý về sau dần dần thời đổi mà tục dời	
夫 極 治 者 亂 生 而 履 霜 者 氷 至	Phàm tột trị thì loạn sinh giẫm sương ắt giá buốt	
賊 臣 因 之 盜 㨿 敵 國 以 是 來 侵	Kể tặc thần nhân đó mà chiếm cướp nước thù địch lấy cớ đến xâm lấn	
满 地 干 戈 莫 匪 狂 明 之 㓂 一 國 圖 籍 翻 為 洁 劫 之	Giáo mác đầy đường đâu chẳng bọn cuồng bạo giặc Minh sách vở cả nước đều thành tro tàn tai hoạ	
求 事 跡 於 煨 烬 之 餘 難 免 是 非 於 亥 豕 之 辨	Muốn tìm sự tích trong dấu than tro khó tránh phân biệt hợi-thỉ đúng sai	
於 皇 昭 代 思 釆 陳 編 下 明 詔 以 購 求 蒐 散 書 而 萃 集	Nay buổi đời rạng đẹp nghĩ kiếm sách xưa ban chiếu dụ để tìm mua nhặt sách rời mà gom góp	
既 命 朝 士 檢 閲 討 論 又	Đã sai triều sĩ kiểm duyệt luận bàn lại	
勑 儒 臣 縂 裁 潤 色	Khiến cho thần chủ trì nhuận sắc	
務 兹 簡 實 捐 彼 浮 華	Cốt thiết thực gọn gàng bỏ rườm rà hoa mỹ	
臣 當 直 舘 之 初 得 預 濡 毫 之 列	Thần khi mới sung vào sử quán được dự hàng nhúng mực bút lông	
倐 遭 家 禍 莫 覩 成 書	Bỗng gặp lúc hoạ nhà chưa thấy sách trọn bộ	
念 夙 志 之 未 酧 釆 羣 言 而 增 校	Tự nghĩ chí xưa chưa thoả bèn tìm các thuyết sửa thêm	
僃 歷 代 君 臣 之 蹟 明 古 今 治 亂 之 原	Chép đủ sự tích vua tôi các triều đại làm rõ nguồn gốc trị loạn từ xưa nay	
歳 周 於 上 而 天 道 明 統 正 於 下 而 人 紀 立	Can chi ở trên mà đạo trời sáng tỏ chính thống ở dưới mà chép người lập nên	
以 至 禮 樂 征 伐 與 夫 制 度 紀 綱 莫 不 正 其 謬 訛 補 其 闕 略	Cho đến lễ nhạc chinh phạt cùng là chế độ kỷ cương chẳng điều gì lầm sai mà không sửa đổi chẳng điều gì thiếu sót mà không bổ thêm	
間 有 於 風 化 附 臆 説 以 明	Hoặc có việc liên quan phong hoá thì phụ thêm ức thuyết phát minh	
名 曰 大 越 史 記 全 書 增 入 鴻 庞 蜀 王 外 紀 總 若 干 卷 今 已 成 編	Tên gọi Đại Việt Sử Ký Toàn Thư soạn thêm Hồng Bàng Thục Vương là phần Ngoại Kỷ cả thảy mấy quyển nay đã biên xong	
效 馬 史 之 編 年 第 慚 補 綴 法 麟 經 之 比	Theo Mã Sử biên niên nhưng thẹn vì chắp vá còn thô học Lân Kinh so việc	
事 敢 望 謹 嚴	Đâu dám mong cẩn nghiêm sánh kịp	
但 於 倫 日 用 之 常 與 其 致 知 格 物 之 學 嘗 於 燕 暇 少 僃 覽 觀	Chỉ là về luân thường nhật dụng cách vật trí tri vào lúc thư nhàn sẵn đem xem đọc	
傳 信 傳 疑 期 汗 青 之 無 愧 繁 辝 繁 事 庶 文 献 之 足 徵	Truyền tin truyền ngờ mong sao khỏi thẹn với sử xanh chép lời chép việc ngõ hầu đủ bằng cho văn hiến	
臣 吳 士 連 下 情 無 任 瞻 天 仰 聖 激 切 屏 營 之 至 謹 裝 潢 成 帙 封 全 隨 表 上 進 以 聞	Thần Ngô Sĩ Liên tình dưới khôn xiết trông trời ngước thánh cảm kích sợ hãi rất mực kính cẩn sửa đóng thành pho gói kín toàn bộ kèm theo tờ biểu dâng lên	
篡 修 大 越 史 記 全 書 凣 例	Phàm lệ về việc biên soạn Đại Việt sử kí toàn thư	
一 是 書 之 作 本 黎 文 休 潘 孚 先 大 越 史 記 二 書 參 以 北 史 野 史 傳 至 諸 本 及 所 傳 授 見 聞 考 技 編 輯 爲 之	Sách này làm ra gốc ở hai bộ Đại Việt sử ký của Lê Văn Hưu và của Phan Phu Tiên tham khảo thêm Bắc sử dã sử các bản truyện chí và những việc nghe thấy truyền lại rồi khảo đính biên tập mà thành	
其 記 始 於 吳 王 者 王 我 越 人 當 南 北 分 争 之 時 亂 興 以 繼 䧺 王 趙 武 之 統 故 也 今 依 武 瓊 所 著 本 紀 全 書 水 自 丁 先 皇 以 明 其 大 一 統 也	Chép bắt đầu từ Ngô Vương vì vương là người nước Việt ta đương lúc Nam Bắc phân tranh đã dẹp loạn dựng nước để nối đại thống của Hùng Vương và Triệu Vũ đế Nay theo Bản kỷ toàn thư của Vũ Quỳnh bắt đầu từ Đinh Tiên Hoàng là để nêu rõ đại nhất thống	
一 歷 代 帝 王 在 位 久 近 前 帝 前 王 於 某 年 創 業 以 是 年 爲 在 位 之 首 年 至 某 年 崩 薨 禪 讓 或 弑 後 帝 後 王 即 位 改 元 則 是 年 猶 爲 前 帝 前 王 在 位	Đế vương của các đời ở ngôi lâu hay chóng đế vương trước sáng nghiệp năm nào thì lấy năm ấy làm năm bắt đầu ở ngôi đến năm nào chết nhường ngôi hoặc bị giết đế vương sau lên ngôi đổi niên hiệu thì năm ấy hãy còn là năm cuối cùng ở ngôi của đế vương trước	
之 末 年	Năm cuối cùng ở ngôi của đế vương trước	
其 或 崩 薨 禪 讓 在 某 年 之 春 夏 則 是 年 爲 後 帝 後 王 在 位 之 首 年 而 春 夏 之 月 爲 前 帝 前 王 之 奇 零 月 如 崩 薨 禪 讓 在 嵗 終 逆 數 在 位 之 年 猶 有 不 盡 之 月 亦 爲 奇 零 月	Hoặc là bị chết hay nhường ngôi vào mùa xuân mùa hạ năm nào đó thì năm ấy là năm đầu ở ngôi vị sau mà những tháng mùa xuân mùa hạ ấy là tháng còn lẻ lại của vị trước nếu chết hay nhường ngôi vào cuối năm tính lại những năm ở ngôi còn có tháng chưa hết thì cũng tính là tháng lẻ	
至 若 楊 日 禮 僣 位 雖 已 逾 年 然 陳 家 曆 數 猶 相 接 故 以 前 年 属 裕 宗 後 年 属 藝 宗 而 通 計 焉 附 録 日 禮	Còn như Dương Nhật Lệ tiếm ngôi tuy đã hơn một năm nhưng lịch số của nhà Trần còn nối tiếp cho nên lấy năm trước thuộc Dụ Tông năm sau thuộc về Nghệ Tông mà tính gồm cả Nhật Lễ thì chép phụ	
一 涇 陽 王 爲 大 越 始 封 之 王 與 帝 宜 同 時 故 紀 元 與 帝 宜 初 年 同	Kinh Dương Vương là vua bắt đầu được phong của nước Đại Việt cùng với Đế Nghi đồng thời cho nên chép năm đầu ngang với năm đầu của Đế Nghi	
一 外 紀 所 載 本 之 野 史 其 甚 恠 者 之 不 錄	Những việc chép trong ngoại kỷ là gốc ở dã sử những việc quá quái đản thì bỏ đi không chép	
䧺	Từ Hùng	
䧺 王 以 上 無 年 表 者 世 主 傳 序 不 可 得 而 知 也 或 云 十 八 世 恐 未 必 然	Từ Hùng Vương trở về trước không có niên biểu thứ tự các đời vua truyền nhau không thể biết được có thuyết nói là mười tám đời sợ chưa chắc đã đúng	
一 趙 紀 當 北 朝 漢 高 惠 文 景 之 世 以 建 亥 爲 嵗 首 者 庶 考 之 朱 子 綱 目 不 爲 謬 矣	Kỷ nhà Triệu tương đương với đời vua Cao Tổ Huệ Đế Văn Đế Cảnh Đế nhà Hán của Bắc triều lấy tháng Hợi làm tháng đầu năm khảo với Cương mục của Chu Tử thì không phải là sai lầm	
一 每 年 甲 子 之 下 分 註 止 書 曆 代 繼 正 統 者 其 餘 列 國 不 書 無 接 我 也	Mỗi năm dưới tên can chi chỉ chú thích các đời nối chính thống ngoài ra đối với các nước khác thì không chép những nước không có giao tiếp với ta	
如 吳 魏 南 漢 事 有 接 我 則 書 某 主	Như nước Ngô Nguỵ Nam Hán có giao tiếp với ta thì chép tên vua nước ấy	
一 凣 紀 本 事 而 涉 前 後 事 本 事 大 書 前 後 事 分 註 庶 得 耳 見 無 遺	Phàm chép một việc nào mà có dính đến việc trước việc sau thì việc ấy viết to còn việc trước việc sau thì chia ra hai dòng mà chú thích để có thể đều thấy cả không sót	
一 北 朝 歷 代 主 皆 書 帝 與 我 各 帝 一 方 也	Các đời vua Bắc triều đều chép là đế vì là cùng với ta đều làm đế một phương	
一 凣 我 越 人 憤 北 人 侵 暴 因 人 心 甚 惡 攻 弑 郡 守 以 自 立 皆 書 起 兵 稱 國	Phàm người nước Việt ta căm giận người Bắc triều xâm lược tàn bạo nhân lòng người căm ghét đánh giết quận thú để tự lập thì đều chép là khởi binh xưng quốc hiệu	
不 幸 而 敗 亡 者 亦 書 起 兵 以 予 之	Không may mà bại vong thì cũng chép là khởi binh để tỏ lòng khen ngợi	
一 士 王 之 時 雖 有 守 任 然 王 以 諸 侯 當 國 國 人 皆 呼 爲 王 守 任 徒 爲 虚 設 而 王 之 貴 重 威 服 百 蠻 不 下 趙 武 後 代 追 封 王 爵 故 表 而 出 之 諸 王 同	Thời Sĩ Vương tuy có chức thái thú nhưng vương là chư hầu coi một nước người trong nước ai cũng gọi là vương chức thái thú chỉ là đặt hão mà sự quý trọng của vương uy phục các Man không kém gì Triệu Vũ đời sau truy phong tước vương cho nên nêu ra ngang với các vương	
一 前 後 李 南 帝 乃 當 時 稱 號 非 真 即 皇 帝 位 故 生	Tiền hậu Lý Nam Đế chỉ là xưng hiệu lúc bấy giờ không phải thực có lên ngôi hoàng đế cho nên còn sống	
則 書 帝 沒 則 書 薨 從 諸 侯 例	Thì chép là đế chết thì chép chữ hoăng là theo lệ chư hầu	
一 趙 越 王 時 李 天 寳 雖 稱 王 立 國 然 其 迹 微 國 統 已 属 趙 王 故 附 錄 于 趙 紀	Thời Triệu Việt Vương Lý Thiên Bảo tuy xưng vương dựng nước nhưng công tích nhỏ mọn mà quốc thống đã thuộc về Triệu Vương rồi cho nên chép phụ vào kỷ nhà Triệu	
一 布 蓋 王 豪 富 勇 力 亦 一 時 之 䧺	Bố Cái Vương hào phú dũng lực cũng là anh hùng một thời	
然 乘 亂 用 杜 英 翰 計 圍 都 護 府 守 任 官 病 子 乃 入 居 府 治 未 正 位 號 尋 沒 其 子 始 尊 以 王 爵 故 微 之 也	Nhưng nhân khi loạn lạc dùng kế của Đỗ Anh Hàn vây phủ Đô hộ thái thú ốm chết bèn vào ở phủ trị chưa chính vị hiệu rồi chết con mới truy tôn tước vương cho nên chép nhỏ thôi	
一 北 人 守 任 有 政 蹟 者 必 書 好 善 惡 惡 人 心 所 同 天 下 之 公 也	Thái thú người Bắc triều người nào có chính tích đều chép cả ưa người thiện ghét kẻ ác lòng người ai cũng thế đó là đạo của thiên hạ vậy	
一 十 二 使 君 乘 時 無 主 各 㨿 地 自 守 莫 相 統 然	Mười hai sứ quân nhân lúc không có chủ mỗi người đều chiếm đất để tự giữ không ai thống nhiếp được nhau nhưng	
吳 昌 熾 以 正 統 書 吳 是 之 後 也	Ngô Xương Xí là chính thống nên chép ở sau họ Ngô	
一 楊 三 哥 前 後 胡 皆 以 王 莽 篡 例 書 名 者 沮 僣 也	Dương Tam Kha và họ Hồ trước họ Hồ sau đều theo như lệ Vương Mãng cướp ngôi nhà Hán chỉ chép tên là để nén kẻ tiếm nghịch	
一 黎 大 行 雖 承 正 統 然 衛 王 璿 猶 在 紀 元 分 註 宋 太 祖 之 於 周 鄭 王 也	Lê Đại Hành tuy là nối chính thống nhưng Vệ Vương Toàn vẫn còn cho nên chỗ chép niên hiệu chia đôi mà chua cũng như Tống Thái Tổ đối với Trịnh Vương nhà Hậu Chu	
一 黎 中 宗 即 位 三 日 而 遇 害 雖 未 逾 年 然 諸 王 争 立 凣 八 月 實 中 宗 嗣 位 之 年	Lê Trung Tông lên ngôi được ba ngày thì bị giết tuy chưa được một năm nhưng các vương tranh nhau làm vua tất cả đến tám tháng thực đó là năm Trung Tông nối ngôi	
故 書 之 爲 君 以 正 臥 朝 篡 弑 之 罪 而 以 嗣 位 一 年 數 焉	Cho nên chép Trung Tông là vua để nêu tội của Ngoạ triều cướp ngôi giết anh mà kể là Trung Tông nối ngôi được một năm	
一 衛 王 靈 德 前 已 即 帝 位 後 降 王 爵 從 史 法 書 曰	Vệ Vương và Linh Đức Vương trước đã lên ngôi hoàng đế sau bị giáng xuống tước vương theo phép chép sử chép là	
廢 帝	Phế Đế	
一 簡 定 即 位 建 元 在 丁 亥 年 十 月 而 稱 一 年 者 尊 正 統 黜 僣 僞 與 紹 慶 元 年 同	Giản Định lên ngôi đặt niên hiệu vào tháng mười năm Đinh Hợi cũng tính là một năm là để tôn chính thống truất kẻ tiếm nguỵ cũng giống như việc chép năm Thiệu Khánh thứ một	
一 陳 末 二 胡 之 後 明 人 併 㨿 凣 二 十 年 止 以 四 年 属 明 者 盖 癸 巳 以 前 簡 定 重 光 猶 係 陳 緒 戊 戌 以 後 我 朝 太 祖 高 皇 帝 已 起 義 兵 故 不 以 属 明 書 正 國 統 也	Cuối thời Trần sau hai họ Hồ người Minh xâm chiếm tất cả hai mươi năm nhưng chỉ để bốn năm thuộc Minh là vì từ năm Quý Tỵ về trước Giản Định và Trùng Quang vẫn là dòng mối nhà Trần từ năm Mậu Tuất về sau thì Thái Tổ Cao Hoàng Đế triều ta đã dấy nghĩa binh rồi cho nên không cho là thuộc nhà Minh là để chính quốc thống vậy	
一 人 名 地 名 有 考 㨿 分 註 其 下 無 則 闕 之	Về tên người tên đất xét có căn cứ thì cước chú ở dưới nếu không thì thôi	
一 凣 書 日 舊 史 甲 子 有 闕 依 日 庶 書 之	Phàm chép ngày sử cũ có hoặc không ghi ngày can chi đều căn cứ theo thứ tự ngày mà chép	
一 凣 正 誤 必 分 註 所 由 庶 無 惑 於 舊 史 間 猶 謬 誤 知 者 幸 正 之	Phàm đính chính chỗ sai tất có cước chú lý do ngõ hầu khỏi bị lầm theo sử cũ gián hoặc còn có chỗ sai lầm vị nào biết xin sửa cho	
續 編 凣 例	Phàm lệ phần tục biên	
一 外 紀 全 書 自 鴻 庞 氏 至 吳 使 君 舊 史 編 爲 一 集 并 本 己 全 書 自 李 太 祖 至 昭 皇 編 爲 一 集 自 陳 太 宗 至 明 宗 編 爲 一 集 陳 憲 宗 至 重 光 帝 編 爲 一 集 及 本 己 實 錄 國 朝 聖 宗 淳 皇 帝 載 爲 一 集	Ngoại kỷ toàn thư từ Hồng Bàng thị đến Ngô Sứ Quân sử cũ chép làm một tập và bản kỷ toàn thư từ Lý Thái Tổ đến Chiêu Hoàng chép làm một tập từ Trần Thái Tông đến Minh Tông chép làm một tập từ Trần Hiến Tông đến Trùng Quang Đế chép làm một tập cùng là Bản kỷ thực lục về đời Thánh Tông Thuần Hoàng Đế của quốc triều chép làm một tập	
