cn,sv,vi
東周君,Đông Chu Quân,Đông Chu Quân
燕趙魏,Yến Triệu Nguỵ,Yến Triệu Nguỵ
秦始皇吕政,Tần Thuỷ Hoàng Lữ Chính,Tần Thuỷ Hoàng Lữ Chính
交趾慈廉,Giao Chỉ Từ Liêm,Giao Chỉ Từ Liêm
李翁仲,Lí Ông Trọng,Lí Ông Trọng
秦,Tần,Tần
司,Tư,Tư
始皇,Thuỷ Hoàng,Thuỷ Hoàng
臨洮,Lâm Thao,Lâm Thao
匈奴,Hung Nô,Hung Nô
始皇,Thuỷ Hoàng,Thuỷ Hoàng
咸陽司馬,Hàm Dương Tư Mã,Hàm Dương Tư Mã
匈奴,Hung Nô,Hung Nô
唐趙昌,Đường Triệu Xương,Đường Triệu Xương
交州,Giao Châu,Giao Châu
翁仲,Ông Trọng,Ông Trọng
春秋左氏傳,Xuân Thu Tả Thị Truyện,Xuân Thu Tả Thị Truyện
迨高王,Đãi Cao Vương,Đãi Cao Vương
南詔,Nam Chiếu,Nam Chiếu
高王,Cao Vương,Cao Vương
李,Lí,Lí
其,Kì,Kì
慈廉,Từ Liêm,Từ Liêm
瑞香,Thuỵ Hương,Thuỵ Hương
丁亥,Đinh Hợi,Đinh Hợi
秦始皇,Tần Thuỷ Hoàng,Tần Thuỷ Hoàng
屠雎,Đồ Thư,Đồ Thư
史祿,Sử Lộc,Sử Lộc
嶺南,Lĩnh Nam,Lĩnh Nam
陸糧,Lục Lương,Lục Lương
桂林今廣西明貴,Quế Lâm Kim Quảng Tây Minh Quý,Quế Lâm Kim Quảng Tây Minh Quý
南海即,Nam Hải Tức,Nam Hải Tức
廣東象郡即南安,Quảng Đông Tượng Quận Tức Nam An,Quảng Đông Tượng Quận Tức Nam An
任囂,Nhâm Ngao,Nhâm Ngao
南海,Nam Hải,Nam Hải
趙佗,Triệu Đà,Triệu Đà
龍川,Long Xuyên,Long Xuyên
竜川南海,Long Xuyên Nam Hải,Long Xuyên Nam Hải
五嶺囂佗,Ngũ Lĩnh Ngao Đà,Ngũ Lĩnh Ngao Đà
陸梁,Lục Lương,Lục Lương
嶺南,Lĩnh Nam,Lĩnh Nam
陸梁辛卯,Lục Lương Tân Mão,Lục Lương Tân Mão
秦始皇,Tần Thuỷ Hoàng,Tần Thuỷ Hoàng
冬,Đông,Đông
秦始皇,Tần Thuỷ Hoàng,Tần Thuỷ Hoàng
沙丘,Sa Khâu,Sa Khâu
任囂趙佗,Nhâm Ngao Triệu Đà,Nhâm Ngao Triệu Đà
北江僊遊,Bắc Giang Tiên Du,Bắc Giang Tiên Du
佗,Đà,Đà
時囂,Thời Ngao,Thời Ngao
小江即都,Tiểu Giang Tức Đô,Tiểu Giang Tức Đô
東湖,Đông Hồ,Đông Hồ
東湖,Đông Hồ,Đông Hồ
謂佗,Vị Đà,Vị Đà
秦,Tần,Tần
泮,Phán,Phán
武寧,Vũ Ninh,Vũ Ninh
平江今東岸天德,Bình Giang Kim Đông Ngạn Thiên Đức,Bình Giang Kim Đông Ngạn Thiên Đức
北佗,Bắc Đà,Bắc Đà
南,Nam,Nam
仲始,Trọng Thuỷ,Trọng Thuỷ
媚珠,Mị Châu,Mị Châu
仲始,Trọng Thuỷ,Trọng Thuỷ
媚珠,Mị Châu,Mị Châu
北,Bắc,Bắc
媚珠,Mị Châu,Mị Châu
夫,Phu,Phu
南北,Nam Bắc,Nam Bắc
媚珠,Mị Châu,Mị Châu
妾,Thiếp,Thiếp
仲始,Trọng Thuỷ,Trọng Thuỷ
佗,Đà,Đà
癸巳,Quý Tị,Quý Tị
秦,Tần,Tần
亥,Hợi,Hợi
胡任囂,Hồ Nhâm Ngao,Hồ Nhâm Ngao
佗,Đà,Đà
聞陳勝,Văn Trần Thắng,Văn Trần Thắng
秦,Tần,Tần
番禺漢,Phiên Ngung Hán,Phiên Ngung Hán
南城,Nam Thành,Nam Thành
東西,Đông Tây,Đông Tây
秦,Tần,Tần
佗,Đà,Đà
佗,Đà,Đà
横浦陽山潢谿,Hoành Phố Dương Sơn Hoàng Khê,Hoành Phố Dương Sơn Hoàng Khê
盗,Đạo,Đạo
秦,Tần,Tần
佗,Đà,Đà
佗,Đà,Đà
媚珠,Mị Châu,Mị Châu
南,Nam,Nam
仲始,Trọng Thuỷ,Trọng Thuỷ
金,Kim,Kim
速,Tốc,Tốc
金,Kim,Kim
乘,Thừa,Thừa
媚珠媚珠,Mị Châu Mị Châu,Mị Châu Mị Châu
忠,Trung,Trung
今,Kim,Kim
演州高舍,Diễn Châu Cao Xá,Diễn Châu Cao Xá
夜山,Dạ Sơn,Dạ Sơn
仲始,Trọng Thuỷ,Trọng Thuỷ
媚珠,Mị Châu,Mị Châu
螺,Loa,Loa
仲始,Trọng Thuỷ,Trọng Thuỷ
媚珠,Mị Châu,Mị Châu
東,Đông,Đông
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
金,Kim,Kim
莘,Sần,Sần
安陽王,An Dương Vương,An Dương Vương
猶,Do,Do
其,Kì,Kì
神,Như,Như
土,Quắc,Quắc
隨,Quắc,Quắc
如,Như,Như
至,Chí,Chí
媚珠,Mị Châu,Mị Châu
趙越王,Triệu Việt Vương,Triệu Việt Vương
蓋,Cái,Cái
蜀趙,Thục Triệu,Thục Triệu
然,Nhiên,Nhiên
曰伯有,Viết Bá Hữu,Viết Bá Hữu
安陽王,An Dương Vương,An Dương Vương
趙越王,Triệu Việt Vương,Triệu Việt Vương
兜,Đâu,Đâu
右安陽王,Hữu An Dương Vương,Hữu An Dương Vương
甲辰,Giáp Thìn,Giáp Thìn
癸巳,Quý Tị,Quý Tị
大越史記外紀全書,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư
大越史記外紀全書卷之二,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Nhị,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Nhị
趙紀,Triệu KỶ,Triệu KỶ
武帝,Vũ Đế,Vũ Đế
秦,Tần,Tần
秦,Tần,Tần
領南,Lĩnh Nam,Lĩnh Nam
漢,Hán,Hán
姓趙,Tính Triệu,Tính Triệu
它漢真定,Đà Hán Chân Định,Đà Hán Chân Định
番禺,Phiên Ngung,Phiên Ngung
廣東,Quảng Đông,Quảng Đông
甲午,Giáp Ngọ,Giáp Ngọ
秦二世,Tần Nhị Thế,Tần Nhị Thế
林邑象郡,Lâm Ấp Tượng Quận,Lâm Ấp Tượng Quận
南帝王,Nam Đế Vương,Nam Đế Vương
乙未,Ất Mùi,Ất Mùi
西楚覇王項籍,Tây Sở Bá Vương Hạng Tịch,Tây Sở Bá Vương Hạng Tịch
漢王劉󰘊,Hán Vương Lưu Bang,Hán Vương Lưu Bang
秦,Tần,Tần
丁酉,Đinh Dậu,Đinh Dậu
楚項籍,Sở Hạng Tịch,Sở Hạng Tịch
冬,Đông,Đông
十,Thập,Thập
戌五,Mậu Tuất,Mậu Tuất
項籍四,Sở Hạng Tịch,Sở Hạng Tịch
劉󰘊四,Hán Lưu Bang,Hán Lưu Bang
大角,Đại Giác,Đại Giác
几亥,Kỉ Hợi,Kỉ Hợi
漢髙帝,Hán Cao Đế,Hán Cao Đế
漢王,Hán Vương,Hán Vương
西楚,Tây Sở,Tây Sở
癸卯,Quý Mão,Quý Mão
漢髙帝,Hán Cao Đế,Hán Cao Đế
交趾九真,Giao Chỉ Cửu Chân,Giao Chỉ Cửu Chân
乙巳,Ất Tị,Ất Tị
漢髙帝,Hán Cao Đế,Hán Cao Đế
越,Việt,Việt
陸賈,Lục Giả,Lục Giả
南越王,Nam Việt Vương,Nam Việt Vương
百粤,Bách Việt,Bách Việt
賈,Giả,Giả
王,Vương,Vương
漢,Hán,Hán
漢,Hán,Hán
且,Thả,Thả
秦,Tần,Tần
漢,Hán,Hán
豊沛,Phong Bái,Phong Bái
關,Quan,Quan
咸陽,Hàm Dương,Hàm Dương
王,Vương,Vương
王,Vương,Vương
百粤,Bách Việt,Bách Việt
天,Thiên,Thiên
帝,Đế,Đế
居,Cư,Cư
賈,Giả,Giả
我,Ngã,Ngã
蕭何曹參,Tiêu Hà Tào Tham,Tiêu Hà Tào Tham
曰王,Viết Vương,Viết Vương
我,Ngã,Ngã
漢,Hán,Hán
賈,Giả,Giả
漢帝,Hán Đế,Hán Đế
五帝三王,Ngũ Đế Tam Vương,Ngũ Đế Tam Vương
漢,Hán,Hán
漢,Hán,Hán
漢,Hán,Hán
吾,Ngô,Ngô
漢賈,Hán Giả,Hán Giả
賈,Giả,Giả
曰越,Viết Việt,Viết Việt
賜賈,Tứ Giả,Tứ Giả
及賈,Cập Giả,Cập Giả
丙午,Bính Ngọ,Bính Ngọ
漢髙帝,Hán Cao Đế,Hán Cao Đế
漢帝,Hán Đế,Hán Đế
庚戌,Canh Tuất,Canh Tuất
漢惠帝,Hán Huệ Đế,Hán Huệ Đế
夏漢,Hạ Hán,Hạ Hán
原廟,Nguyên Miếu,Nguyên Miếu
渭,Vị,Vị
癸丑,Quý Sửu,Quý Sửu
漢惠帝,Hán Huệ Đế,Hán Huệ Đế
夏,Hạ,Hạ
漢,Hán,Hán
乙卯,Ất Mão,Ất Mão
漢髙后吕雉,Hán Cao Hậu Lữ Trĩ,Hán Cao Hậu Lữ Trĩ
丁巳,Đinh Tị,Đinh Tị
漢髙后漢,Hán Cao Hậu Hán,Hán Cao Hậu Hán
南越,Nam Việt,Nam Việt
髙帝,Cao Đế,Cao Đế
今髙后,Kim Cao Hậu,Kim Cao Hậu
漢越,Hán Việt,Hán Việt
長沙王,Trường Sa Vương,Trường Sa Vương
漢,Hán,Hán
戊午,Mậu Ngọ,Mậu Ngọ
漢髙后,Hán Cao Hậu,Hán Cao Hậu
皇,Hoàng,Hoàng
長沙,Trường Sa,Trường Sa
庚申,Canh Thân,Canh Thân
漢髙后,Hán Cao Hậu,Hán Cao Hậu
隆慮,Long Lự,Long Lự
林閭,Lâm Lư,Lâm Lư
周竃,Chu Táo,Chu Táo
南越,Nam Việt,Nam Việt
長沙,Trường Sa,Trường Sa
閩越西甌貉,Mân Việt Tây Âu Lạc,Mân Việt Tây Âu Lạc
交跐九真,Giao Chỉ Cửu Chân,Giao Chỉ Cửu Chân
漢,Hán,Hán
辛酉,Tân Dậu,Tân Dậu
漢髙后,Hán Cao Hậu,Hán Cao Hậu
髙后,Cao Hậu,Cao Hậu
恒,Hằng,Hằng
文帝,Văn Đế,Văn Đế
壬戌,Nhâm Tuất,Nhâm Tuất
漢文帝恒,Hán Văn Đế Hằng,Hán Văn Đế Hằng
真定,Chân Định,Chân Định
宰,Tể,Tể
陳平,Trần Bình,Trần Bình
越,Việt,Việt
陸賈先,Lục Giả Tiên,Lục Giả Tiên
越,Việt,Việt
賈,Giả,Giả
太,Thái,Thái
曰謹,Viết Cẩn,Viết Cẩn
南越,Nam Việt,Nam Việt
朕髙帝,Trẫm Cao Đế,Trẫm Cao Đế
代,Đại,Đại
髙皇,Cao Hoàng,Cao Hoàng
孝惠,Hiếu Huệ,Hiếu Huệ
髙后,Cao Hậu,Cao Hậu
吕,Lữ,Lữ
孝惠皇帝,Hiếu Huệ Hoàng Đế,Hiếu Huệ Hoàng Đế
王,Vương,Vương
隆慮,Long Lự,Long Lự
長沙,Trường Sa,Trường Sa
王,Vương,Vương
博陽侯,Bác Dương Hầu,Bác Dương Hầu
真定,Chân Định,Chân Định
王,Vương,Vương
長沙,Trường Sa,Trường Sa
南,Nam,Nam
王,Vương,Vương
必,Tất,Tất
髙皇帝,Cao Hoàng Đế,Cao Hoàng Đế
長沙,Trường Sa,Trường Sa
王,Vương,Vương
今,Kim,Kim
王,Vương,Vương
嶺,Lĩnh,Lĩnh
南王,Nam Vương,Nam Vương
王,Vương,Vương
王,Vương,Vương
陸賈,Lục Giả,Lục Giả
王,Vương,Vương
王,Vương,Vương
願王,Nguyện Vương,Nguyện Vương
謹,Cẩn,Cẩn
王,Vương,Vương
朕,Trẫm,Trẫm
两,Lưỡng,Lưỡng
漢皇帝,Hán Hoàng Đế,Hán Hoàng Đế
蠻夷,Man Di,Man Di
佗,Đà,Đà
越,Việt,Việt
髙帝,Cao Đế,Cao Đế
南越王,Nam Việt Vương,Nam Việt Vương
孝惠皇帝,Hiếu Huệ Hoàng Đế,Hiếu Huệ Hoàng Đế
髙后,Cao Hậu,Cao Hậu
華夷,Hoa Di,Hoa Di
南越,Nam Việt,Nam Việt
潘中,Phan Trung,Phan Trung
髙,Cao,Cao
平,Bình,Bình
今,Kim,Kim
漢,Hán,Hán
吳,Ngô,Ngô
髙皇后,Cao Hoàng Hậu,Cao Hoàng Hậu
南越,Nam Việt,Nam Việt
長沙王,Trường Sa Vương,Trường Sa Vương
越,Việt,Việt
漢,Hán,Hán
今陛,Kim Bệ,Kim Bệ
皇,Hoàng,Hoàng
陸賈,Lục Giả,Lục Giả
漢,Hán,Hán
南北,Nam Bắc,Nam Bắc
癸亥,Quý Hợi,Quý Hợi
漢文帝,Hán Văn Đế,Hán Văn Đế
甲子,Giáp Tí,Giáp Tí
漢文帝,Hán Văn Đế,Hán Văn Đế
十,Thập,Thập
辛巳,Tân Tị,Tân Tị
漢文帝,Hán Văn Đế,Hán Văn Đế
元,Nguyên,Nguyên
甲申,Giáp Thân,Giáp Thân
漢文帝,Hán Văn Đế,Hán Văn Đế
漢,Hán,Hán
乙酉,Ất Dậu,Ất Dậu
漢景帝,Hán Cảnh Đế,Hán Cảnh Đế
太宗,Thái Tông,Thái Tông
丙戌,Bính Tuất,Bính Tuất
漢景帝,Hán Cảnh Đế,Hán Cảnh Đế
西,Tây,Tây
丁亥,Đinh Hợi,Đinh Hợi
漢景帝,Hán Cảnh Đế,Hán Cảnh Đế
西,Tây,Tây
戊子,Mậu Tí,Mậu Tí
漢景帝,Hán Cảnh Đế,Hán Cảnh Đế
癸巳,Quý Tị,Quý Tị
漢景帝复中元,Hán Cảnh Đế Hạ Trung Nguyên,Hán Cảnh Đế Hạ Trung Nguyên
甲午,Giáp Ngọ,Giáp Ngọ
漢景帝,Hán Cảnh Đế,Hán Cảnh Đế
西北,Tây Bắc,Tây Bắc
乙未,Ất Mùi,Ất Mùi
漢景帝,Hán Cảnh Đế,Hán Cảnh Đế
丁酉,Đinh Dậu,Đinh Dậu
漢景帝,Hán Cảnh Đế,Hán Cảnh Đế
時帝,Thời Đế,Thời Đế
漢,Hán,Hán
王,Vương,Vương
戊戌,Mậu Tuất,Mậu Tuất
漢景帝,Hán Cảnh Đế,Hán Cảnh Đế
庚子,Canh Tí,Canh Tí
漢景帝,Hán Cảnh Đế,Hán Cảnh Đế
太微,Thái Vi,Thái Vi
天庭,Thiên Đình,Thiên Đình
天庭,Thiên Đình,Thiên Đình
龍星,Long Tinh,Long Tinh
太微,Thái Vi,Thái Vi
翌軫,Dực Chẩn,Dực Chẩn
天,Thiên,Thiên
五帝,Ngũ Đế,Ngũ Đế
漢,Hán,Hán
壬寅,Nhâm Dần,Nhâm Dần
漢武帝徹春,Hán Vũ Đế Triệt Xuân,Hán Vũ Đế Triệt Xuân
建癸卯,Kiến Quý Mão,Kiến Quý Mão
漢建元秋,Hán Kiến Nguyên Thu,Hán Kiến Nguyên Thu
西北,Tây Bắc,Tây Bắc
甲辰,Giáp Thìn,Giáp Thìn
漢建元,Hán Kiến Nguyên,Hán Kiến Nguyên
武帝,Vũ Đế,Vũ Đế
孫胡,Tôn Hồ,Tôn Hồ
後陳,Hậu Trần,Hậu Trần
帝,Đế,Đế
開天体道聖武神哲皇帝,Khai Thiên Thể Đạo Thánh Vũ Thần Triết Hoàng Đế,Khai Thiên Thể Đạo Thánh Vũ Thần Triết Hoàng Đế
黎文休,Lê Văn Hưu,Lê Văn Hưu
遼東,Liêu Đông,Liêu Đông
箕子,Cơ Tử,Cơ Tử
吳會,Ngô Cối,Ngô Cối
泰伯,Thái Bá,Thái Bá
大舜東夷,Đại Thuấn Đông Di,Đại Thuấn Đông Di
五帝,Ngũ Đế,Ngũ Đế
文王西夷,Văn Vương Tây Di,Văn Vương Tây Di
三代,Tam Đại,Tam Đại
華夷,Hoa Di,Hoa Di
趙武帝,Triệu Vũ Đế,Triệu Vũ Đế
越,Việt,Việt
漢,Hán,Hán
越,Việt,Việt
帝,Đế,Đế
越,Việt,Việt
趙武,Triệu Vũ,Triệu Vũ
北,Bắc,Bắc
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
傳,Truyện,Truyện
有,Hữu,Hữu
亦,Diệc,Diệc
陸賈,Lục Giả,Lục Giả
漢髙,Hán Cao,Hán Cao
文帝,Văn Đế,Văn Đế
帝,Đế,Đế
漢,Hán,Hán
易,Dịch,Dịch
謙,Khiêm,Khiêm
文王,Văn Vương,Văn Vương
諱胡仲始,Huý Hồ Trọng Thuỷ,Huý Hồ Trọng Thuỷ
武帝,Vũ Đế,Vũ Đế
丙午,Bính Ngọ,Bính Ngọ
漢建元,Hán Kiến Nguyên,Hán Kiến Nguyên
東,Đông,Đông
閩越王郢,Mân Việt Vương Sính,Mân Việt Vương Sính
漢,Hán,Hán
漢,Hán,Hán
王恢,Vương Khôi,Vương Khôi
豫章韓安國,Dự Chương Hàn An Quốc,Dự Chương Hàn An Quốc
會󰏲,Cối Kê,Cối Kê
閩越,Mân Việt,Mân Việt
淮南王安,Hoài Nam Vương An,Hoài Nam Vương An
越,Việt,Việt
自三,Tự Tam,Tự Tam
胡粤,Hồ Việt,Hồ Việt
中國,Trung Quốc,Trung Quốc
中國,Trung Quốc,Trung Quốc
且越,Thả Việt,Thả Việt
安,An,An
且越,Thả Việt,Thả Việt
中國,Trung Quốc,Trung Quốc
閩越王,Mân Việt Vương,Mân Việt Vương
甲,Giáp,Giáp
甲,Giáp,Giáp
聖,Thánh,Thánh
王,Vương,Vương
天,Thiên,Thiên
越,Việt,Việt
越王,Việt Vương,Việt Vương
詩,Thi,Thi
王,Vương,Vương
徐,Từ,Từ
臣安,Thần An,Thần An
漢,Hán,Hán
閩越王,Mân Việt Vương,Mân Việt Vương
餘善,Dư Thiện,Dư Thiện
王,Vương,Vương
南越,Nam Việt,Nam Việt
漢,Hán,Hán
王,Vương,Vương
漢,Hán,Hán
王郢,Vương Sính,Vương Sính
王恢,Vương Khôi,Vương Khôi
韓安國,Hàn An Quốc,Hàn An Quốc
荘助,Trang Trợ,Trang Trợ
王,Vương,Vương
天,Thiên,Thiên
閩越,Mân Việt,Mân Việt
󰞿齊,Anh Tề,Anh Tề
助,Trợ,Trợ
國,Quốc,Quốc
漢,Hán,Hán
郢,Sính,Sính
越,Việt,Việt
漢,Hán,Hán
歐,Âu,Âu
丁未,Đinh Mùi,Đinh Mùi
漢元光,Hán Nguyên Quang,Hán Nguyên Quang
甲寅,Giáp Dần,Giáp Dần
漢元朔,Hán Nguyên Sóc,Hán Nguyên Sóc
乙卯,Ất Mão,Ất Mão
漢元朔,Hán Nguyên Sóc,Hán Nguyên Sóc
󰞿齊,Anh Tề,Anh Tề
漢,Hán,Hán
丙辰,Bính Thìn,Bính Thìn
漢元朔,Hán Nguyên Sóc,Hán Nguyên Sóc
文王,Văn Vương,Văn Vương
子󰞿齊,Tử Anh Tề,Tử Anh Tề
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
文王,Văn Vương,Văn Vương
漢,Hán,Hán
漢,Hán,Hán
明王,Minh Vương,Minh Vương
諱󰞿齊文王,Huý Anh Tề Văn Vương,Huý Anh Tề Văn Vương
丁巳,Đinh Tị,Đinh Tị
漢元朔,Hán Nguyên Sóc,Hán Nguyên Sóc
以吕嘉,Dĩ Lữ Gia,Dĩ Lữ Gia
太,Thái,Thái
己未,Kỉ Mùi,Kỉ Mùi
漢元狩,Hán Nguyên Thú,Hán Nguyên Thú
壬戌,Nhâm Tuất,Nhâm Tuất
漢元狩,Hán Nguyên Thú,Hán Nguyên Thú
東北,Đông Bắc,Đông Bắc
乙丑,Ất Sửu,Ất Sửu
漢元𣇄,Hán Nguyên Đỉnh,Hán Nguyên Đỉnh
戊辰,Mậu Thìn,Mậu Thìn
漢元𣇄,Hán Nguyên Đỉnh,Hán Nguyên Đỉnh
初王,Sơ Vương,Sơ Vương
世,Thế,Thế
漢,Hán,Hán
長安,Trường An,Trường An
邯郸樛,Hàm Đan Cù,Hàm Đan Cù
興,Hưng,Hưng
漢,Hán,Hán
樛,Cù,Cù
興,Hưng,Hưng
世,Thế,Thế
漢,Hán,Hán
次,Thứ,Thứ
明王,Minh Vương,Minh Vương
子興,Tử Hưng,Tử Hưng
哀王,Ai Vương,Ai Vương
諱興明王,Huý Hưng Minh Vương,Huý Hưng Minh Vương
王,Vương,Vương
樛,Cù,Cù
太,Thái,Thái
�太,Sơ Thái,Sơ Thái
明王,Minh Vương,Minh Vương
覇陵,Bá Lăng,Bá Lăng
安國少季,An Quốc Thiếu Quý,An Quốc Thiếu Quý
安國,An Quốc,An Quốc
少季,Thiếu Quý,Thiếu Quý
漢,Hán,Hán
安國少季,An Quốc Thiếu Quý,An Quốc Thiếu Quý
王,Vương,Vương
太后,Thái Hậu,Thái Hậu
諫,Gián,Gián
終軍,Chung Quân,Chung Quân
魏臣,Nguỵ Thần,Nguỵ Thần
路博德,Lộ Bác Đức,Lộ Bác Đức
桂陽,Quế Dương,Quế Dương
時王,Thời Vương,Thời Vương
樛,Cù,Cù
漢,Hán,Hán
少季,Thiếu Quý,Thiếu Quý
太,Thái,Thái
?,UNK,UNK
漢,Hán,Hán
及,Vương,Vương
漢,Hán,Hán
王,Vương,Vương
吕嘉,Lữ Gia,Lữ Gia
漢,Hán,Hán
己巳,Kỉ Tị,Kỉ Tị
漢元𣇄,Hán Nguyên Đỉnh,Hán Nguyên Đỉnh
太,Thái,Thái
時宰,Thời Tể,Thời Tể
吕嘉,Lữ Gia,Lữ Gia
王,Vương,Vương
蒼梧秦王,Thương Ngô Tần Vương,Thương Ngô Tần Vương
王,Vương,Vương
王王,Vương Vương,Vương Vương
嘉,Gia,Gia
太,Thái,Thái
嘉,Gia,Gia
漢,Hán,Hán
嘉,Gia,Gia
太,Thái,Thái
嘉,Gia,Gia
南越,Nam Việt,Nam Việt
嘉,Gia,Gia
王,Vương,Vương
王,Vương,Vương
嘉嘉,Gia Gia,Gia Gia
嘉,Gia,Gia
漢,Hán,Hán
嘉,Gia,Gia
王,Vương,Vương
太,Thái,Thái
王,Vương,Vương
太,Thái,Thái
吕嘉,Lữ Gia,Lữ Gia
荘參,Trang Sâm,Trang Sâm
荘參,Trang Sâm,Trang Sâm
以,Dĩ,Dĩ
參,Sâm,Sâm
故濟北,Cố Tế Bắc,Cố Tế Bắc
韓千秋,Hàn Thiên Thu,Hàn Thiên Thu
以,Dĩ,Dĩ
越,Việt,Việt
王,Vương,Vương
吕嘉,Lữ Gia,Lữ Gia
嘉,Gia,Gia
漢,Hán,Hán
千秋,Thiên Thu,Thiên Thu
樛太,Cù Thái,Cù Thái
樛樂,Cù Lạc,Cù Lạc
越,Việt,Việt
吕嘉,Lữ Gia,Lữ Gia
王,Vương,Vương
太,Thái,Thái
漢,Hán,Hán
漢,Hán,Hán
漢,Hán,Hán
長安,Trường An,Trường An
趙,Triệu,Triệu
王,Vương,Vương
太,Thái,Thái
漢,Hán,Hán
蒼梧秦王,Thương Ngô Tần Vương,Thương Ngô Tần Vương
明王,Minh Vương,Minh Vương
術陽,Thuật Dương,Thuật Dương
建德,Kiến Đức,Kiến Đức
哀王,Ai Vương,Ai Vương
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
哀王,Ai Vương,Ai Vương
吕嘉,Lữ Gia,Lữ Gia
樛后,Cù Hậu,Cù Hậu
哀王,Ai Vương,Ai Vương
吕嘉,Lữ Gia,Lữ Gia
大,Đại,Đại
母,Mẫu,Mẫu
嘉,Gia,Gia
故,Cố,Cố
為,Vi,Vi
春秋,Xuân Thu,Xuân Thu
春秋,Xuân Thu,Xuân Thu
明王哀王吕嘉,Minh Vương Ai Vương Lữ Gia,Minh Vương Ai Vương Lữ Gia
術陽王,Thuật Dương Vương,Thuật Dương Vương
趙,Triệu,Triệu
樛,Cù,Cù
諱建德明王,Huý Kiến Đức Minh Vương,Huý Kiến Đức Minh Vương
越,Việt,Việt
宰,Tể,Tể
吕嘉,Lữ Gia,Lữ Gia
王,Vương,Vương
韓千秋,Hàn Thiên Thu,Hàn Thiên Thu
番禺,Phiên Ngung,Phiên Ngung
千秋,Thiên Thu,Thiên Thu
漢,Hán,Hán
塞上,Tái Thượng,Tái Thượng
大庾,Đại Dũ,Đại Dũ
伏波,Phục Ba,Phục Ba
路博德,Lộ Bác Đức,Lộ Bác Đức
桂陽楼,Quế Dương Lâu,Quế Dương Lâu
杨僕,Dương Bộc,Dương Bộc
豫章戈,Dự Chương Qua,Dự Chương Qua
嚴名嚴,Nghiêm Danh Nghiêm,Nghiêm Danh Nghiêm
零陵下,Linh Lăng Hạ,Linh Lăng Hạ
甲,Giáp,Giáp
名甲,Danh Giáp,Danh Giáp
蒼梧馳義,Thương Ngô Trì Nghĩa,Thương Ngô Trì Nghĩa
貴,Quý,Quý
貴,Quý,Quý
夜郎,Dạ Lang,Dạ Lang
牂牁,Tường Kha,Tường Kha
番禺,Phiên Ngung,Phiên Ngung
庚午,Canh Ngọ,Canh Ngọ
漢元𣇄,Hán Nguyên Đỉnh,Hán Nguyên Đỉnh
冬漢楊僕,Đông Hán Dương Bộc,Đông Hán Dương Bộc
尋陿,Tầm Hiệp,Tầm Hiệp
石門嘉,Thạch Môn Gia,Thạch Môn Gia
石門,Thạch Môn,Thạch Môn
伏波,Phục Ba,Phục Ba
路博德,Lộ Bác Đức,Lộ Bác Đức
博德,Bác Đức,Bác Đức
楼,Lâu,Lâu
番禺,Phiên Ngung,Phiên Ngung
楊僕,Dương Bộc,Dương Bộc
番禺,Phiên Ngung,Phiên Ngung
嘉,Gia,Gia
楊僕,Dương Bộc,Dương Bộc
東南,Đông Nam,Đông Nam
路博德,Lộ Bác Đức,Lộ Bác Đức
西北,Tây Bắc,Tây Bắc
僕,Bộc,Bộc
博德,Bác Đức,Bác Đức
楊僕,Dương Bộc,Dương Bộc
路博德,Lộ Bác Đức,Lộ Bác Đức
嘉,Gia,Gia
博德,Bác Đức,Bác Đức
嘉,Gia,Gia
蘇弘,Tô Hoằng,Tô Hoằng
王越,Vương Việt,Vương Việt
都󰏲,Đô Kê,Đô Kê
孫都,Tôn Đô,Tôn Đô
嘉,Gia,Gia
時下,Thời Hạ,Thời Hạ
戈船,Qua Thuyền,Qua Thuyền
馳義,Trì Nghĩa,Trì Nghĩa
夜郎,Dạ Lang,Dạ Lang
越,Việt,Việt
路博德楊僕,Lộ Bác Đức Dương Bộc,Lộ Bác Đức Dương Bộc
越,Việt,Việt
交趾九真日南,Giao Chỉ Cửu Chân Nhật Nam,Giao Chỉ Cửu Chân Nhật Nam
路博德,Lộ Bác Đức,Lộ Bác Đức
太,Thái,Thái
南海秦,Nam Hải Tần,Nam Hải Tần
明廣東,Minh Quảng Đông,Minh Quảng Đông
蒼梧唐,Thương Ngô Đường,Thương Ngô Đường
益州,Ích Châu,Ích Châu
甌貉,Âu Lạc,Âu Lạc
越,Việt,Việt
鬱林秦桂林,Uất Lâm Tần Quế Lâm,Uất Lâm Tần Quế Lâm
漢武,Hán Vũ,Hán Vũ
合浦秦象,Hợp Phố Tần Tượng,Hợp Phố Tần Tượng
廉州,Liêm Châu,Liêm Châu
交趾九真日南秦象,Giao Chỉ Cửu Chân Nhật Nam Tần Tượng,Giao Chỉ Cửu Chân Nhật Nam Tần Tượng
珠崖,Châu Nhai,Châu Nhai
耳,Nhĩ,Nhĩ
漢,Hán,Hán
黎文休,Lê Văn Hưu,Lê Văn Hưu
