cn,sv,entity_position,entities,entity_type
入門思念彌佗佛,Nhập môn tư niệm Di Đà Phật,(4: 7),Di Đà Phật,
寶劍奮雄威瓢水九回頑鱷靜,Bảo kiếm phấn hùng uy Biều thuy cửu hồi ngoan ngạc tĩnh,(5: 6),Biều,
神壇鐘秀氣象山一帶旺龍來,Thần đàn chung tú khí Tượng sơn nhất đới vượng long lai,(5: 6),Tượng,
近悦速來皈佛化,Cận duyệt viễn lai quy Phật hóá,(5: 6),Phật,
法雨注南州翠竹黄花生思色,Pháp vũ chú Nam châu Thúy trúc hoàng hoa sinh tư sắc,"(3: 4), (5: 6)","Nam, Thúy",
慈雲布東土長松細草沐洪恩,Từ vân bố Đông Thổ trường tùng tế thảo mộc hồng ân,(3: 5),Đông Thổ,
泰筮羲疇喚精祥於茶嶺,Thái phệ hy trù hoán tinh tường ư Trà Lĩnh,(8: 10),Trà Lĩnh,
河圖奉詔顯靈蹟于龍文,Hà đồ phụng chiếu hiển linh tích vu Lot Văn,(8: 10),Lot Văn,
巍蕩神功塗山並峙,Nguy đăng thần công Đồ Sơn tịnh trĩ,(4: 6),Đồ Sơn,
汪洋聖澤瓢水長流,Uông dương thánh trạch Biều Thủy trường lưu,(4: 6),Biều Thủy,
一宦白人頭朔塞雪箱經幾度,Nhất hoạn bạch nhân đầu Sóc tái tuyết sương kinh kỷ độ,(5: 6),Sóc,
相逢青我眼香江書劍是何年,Tương phùng thanh ngã nhãn Hương giang thư kiếm thị hà niên,(5: 6),Hương,
十秋西竺蓮臺慈悲廣大,Thiên thu Tây Trúc liên đài từ bi quảng đại,(2: 4),Tây Trúc,
萬年禪門受教心誦眞經,Vạn niên Thiền môn thụ giáo tâm tụng chân kinh,(2: 3),Thiền,
景佛前扶善罰惡,Cảnh Phật tiền phù thiện phạt ác,(0: 2),Cảnh Phật,
靈山寶寺提斯眾眾入禪門,Linh Sơn bảo tự đề tư chúng chúng nhập thiền môn,(0: 2),Linh Sơn,
天向西天雲水多山海外,Thiên hướng Tây thiên vân thủy đa sơn hải ngoại,(2: 3),Tây,
電金色相壯廠果土抬頭瞻等日,Hoàng kim sắc tướng trang nghiêm Đông Thổ đài đầu chiêm tuệ nhật,(6: 8),Đông Thổ,
白王毫光照耀西方垂手引迷途,Bạch vương hào quang chiếu diệu Tây Phương thùy thủ dẫn mé đồ,(6: 8),Tây Phương,
真佛本靈光法駕隨臨皆樂界,Chân Phật bản linh quang pháp giá tùy lâm giai lạc giới,(0: 2),Chân Phật,
淨土不來俗人陶今醉多謝公心雜,Tịnh độ bất lai tục nhân Đào kim túy đa Tạ công tâm tạp,"(6: 7), (10: 11)","Đào, Tạ",
易地亦同宗教釋伽中國周孔西方,Dịch địa diệc đồng tôn giáo Thích Ca Trung Quốc Chu Khổng Tây phương,(6: 13),Thích Ca Trung Quốc Chu Khổng Tây,
紹降佛種當來興顯遠傳燈,Thiệu giáng Phật chủng đương lai hưng hiển viền truyền đăng,(2: 3),Phật,
神女月宮生顯跡艷傳雲葛,Thần nữ nguyệt cung sinh hiển tích diễm truyền Vân Cát,(9: 11),Vân Cát,
昏桂毛碗國家楨千,Đậu quế Vương hòe quốc gia trinh cán,(2: 3),Vương,
唐科宋榜士子梯階,Đường khoa Tống bảng sĩ tử thê giai,(2: 3),Tống,
上界神而仙靈氣地連崇葛外,Thượng giới thần nhi tiên linh khí địa liên Sùng Cát ngoại,(9: 11),Sùng Cát,
大名生不死形徽史在趙徵問,Đại danh sinh bất tử hình huy sử tại Triệu Trưng gian ,(9: 11),Triệu Trưng,
嘉名徵聖瑞靈語穌水升平街巷干期,Gia danh trưng thánh thụy Linh trừ Tô thủy thăng bình nhai hạng thiên kỳ,"(5: 6), (7: 8)","Linh, Tô",
珥水其間猶多旺氣,Nùng sơn Nhị thủy kỳ gian do đa vượng khí,(2: 3),Nhị,
亞雨歐風此會别有神權,Ả vũ Âu phong thử hội biệt hữu thần quyền,(2: 3),Âu,
接貉開丁冠冕稱王三载史,Tiếp Lạc khai Đinh quan miện xưng vương tam tải sử,"(0: 2), (3: 4)","Tiếp Lạc, Đinh",
驅蘇抗馬山河還我萬年芳,Khu 7ô kháng Mã sơn hà hoàn ngã vạn niên phương,(3: 4),Mã,
游说功德炳南天如今猶在,Nguy nguy công đức binh Nam thiên như nim do tại,(5: 6),Nam,
凜凜威風蟲北地曆古如今,Lẫm lẫm uy phong oanh Bắc địa lịch cổ như kim,(5: 6),Bắc,
象劍成功一統六十五城南國山河裁然獨立,Tượng kiếm thành công nhất thống lục thập ngũ thành Nam quốc sơn hà tiệt nhiên độc lập,(10: 11),Nam,
珥濃對峙屹今數千餘載將門姊妹凜若汁存,Nhị Nùng đối trĩ ngật kin sổ thiên dư tải tướng môn tỉ muội lẫm nhược sinh tồn,(0: 2),Nhị Nùng,
聖德威靈除北寇,Thánh đức uy linh trừ Bắc khấu,(5: 6),Bắc,
神功莫測振南邦,Thần công mạc trắc chấn Nam bang,(5: 6),Nam,
宇宙不風塵北南兩國,Vũ trụ bất phong trần Bắc Nam lưỡng quốc,(5: 7),Bắc Nam,
南同珠玉萬景樓臺色耀祥雲,Nam Đồng châu ngọc vụn cảnh lâu dài sắc diệu tường vân,(0: 2),Nam Đồng,
宋土務花都棟字重新臨慧日,Dông Tho Lạc Long đô đống vũ trùng tân làm tuệ nhật,(0: 4),Dông Tho Lạc Long,
在陳晚絲文儒官太保計課赤綏逆臣,Tại Trần vẫn diêu văn nho quan thái bảo kế tru xích tuy nghịch thần,(0: 2),Tại Trần,
入黎初以節烈秩大王廟祀黃梅故墅,Nhập Lê sơ di tiết liệt trật đại vương miếu tự Hoàng Mai cổ thự,"(0: 2), (11: 13)","Nhập Lê, Hoàng Mai",
龍過城外别此霸王蒸一朵運生長化廣,Long Biên thành ngoại biệt thử bá vương cơ nhất đóa liên sinh trường hóa quảng,(0: 2),Long Biên,
登門眺望龍肚鍾靈特地樓臺近挹西湖月,Đăng môn diêu vọng Long Đỗ chung linh đặc địa lâu đài cận ấp Tây Hồ nguyệt,"(4: 6), (14: 16)","Long Đỗ, Tây Hồ",
歷大稱傳帝都四鎮敬天華表遙對武當山,Lịch đại xứng truyền đế đô tứ trấn kính thiên hoa biểu dao đối Vũ Đương sơn,(14: 16),Vũ Đương,
五 十 花 筵 開 北 海,Ngũ thập hoa diên khai Bắc hải,(5: 6),Bắc,
三 千 朱 履 慶 南 山,Tam thiên chu lý khánh Nam Sơn,(5: 7),Nam Sơn,
几 代 同 瞻 寶 婺 輝,Kỷ đại đồng chiêm Bảo vụ huy,(4: 5),Bảo,
九 十 春 光 堂 前 活 佛,Cửu thập xuân quang đường tiền hoạt Phật,(7: 8),Phật,
上 壽 尤 多 百 歲 人,Thượng thọ vưu đa Bách tuế nhân,(4: 5),Bách,
四 代 同 瞻 寶 婺 輝,Tứ đại đồng chiêm Bảo vụ huy,(4: 5),Bảo,
千 年 寶 婺 喜 生 輝,Thiên niên Bảo vụ hỷ sinh huy,(2: 3),Bảo,
仙 容 藍 田 欣 種 玉,Tiên Dung lam điền hân chủng ngọc,(0: 2),Tiên Dung,
月 娥 金 屋 警 鳴 雞,Nguyệt Nga kim ốc cảnh minh kê,(0: 2),Nguyệt Nga,
周 召 國 風 曾 訓 子,Chu Triệu quốc phong tằng huấn tử,(0: 2),Chu Triệu,
謝 王 佳 偶 自 宜 家,Tạ Vương giai ngẫu tự nghi gia,(0: 2),Tạ Vương,
正 氣 高 凌 銅 柱 北,Chính khí cao lăng đồng trụ Bắc,(6: 7),Bắc,
精 英 長 引 喝 江 南,Tinh anh trường dẫn Hát giang Nam,"(4: 5), (6: 7)","Hát, Nam",
桃 熟 瑤 池 三 千 歲 月,Đào thục Dao Trì tam thiên tuế nguyệt,(2: 4),Dao Trì,
知 音 能 有 几 高 山 流 水 傷 心 永 斷伯 牙 琴,Tri âm năng hữu kỷ cao sơn lưu thủy thương tâm vĩnh đoạn Bá Nha cầm,(13: 15),Bá Nha,
堂 粲 長 庚 徵 上 壽,Đường Sán trường canh Trưng thượng thọ,"(0: 2), (4: 5)","Đường Sán, Trưng",
嶺 上 梅 花 報 喜 信,Lĩnh thượng Mai hoa báo hỉ tín,(2: 3),Mai,
才 高 鸚 鵡 賦,Tài cao Anh Vũ phú,(2: 4),Anh Vũ,
春 入 鳳 凰 樓,Xuân nhập Phượng hoàng lâu,(2: 3),Phượng,
云 漢 橋 成 牛 女 渡,Vân hán kiều thành Ngưu Nữ độ,(4: 6),Ngưu Nữ,
春 台 簫 引 鳳 凰 飛,Xuân đài tiêu dẫn Phượng Hoàng phi,(4: 6),Phượng Hoàng,
丹 山 日 出 鳳 雙 飛,Đan sơn nhật xuất Phượng song phi,(4: 5),Phượng,
戶 外 吹 笙 引 鳳 凰,Hộ ngoại xuy sinh dẫn Phượng Hoàng,(5: 7),Phượng Hoàng,
鳳 求 凰 百 年 樂 事,Phượng cầu Hoàng bách niên lạc sự,(2: 3),Hoàng,
經 傳 桂 里 鳳 和 鳴,Kinh truyền quế lý Phượng hoà minh,(4: 5),Phượng,
紅 墻 銀 漢 途 難 越,Hồng tường Ngân Hán đồ nan việt,(2: 4),Ngân Hán,
雲 鎖 巫 山 人 不 見,Vân toả Vu Sơn nhân bất kiến,(2: 4),Vu Sơn,
青 信 來 王 母 歸 時 環 珮 冷,Thanh điểu tín lai Vương Mẫu qui thời hoàn bội lãnh,(4: 6),Vương Mẫu,
玉 簫 聲 斷 秦 娥 去 後 鳳 樓 空,Ngọc tiêu thanh đoạn Tần nga khứ hậu phượng lầu không,(4: 5),Tần,
遇 亦 甚 難 哉 慷 慨 先 已 駙 馬 子,Ngộ diệc thậm nan tai Khảng khái tiên dĩ phò mã tử,(5: 6),Khảng,
神 當 不 沒 矣 悽 愴 長 在 昇 龍 門,Thần đương bất một hĩ Thê thương trường tại Thăng Long môn,"(5: 6), (9: 11)","Thê, Thăng Long",
同 郡 疊 告 哀 君 之 逝 去 竹 堂 范 老 幾 何 日,Đồng quận điệp cáo ai quân chi thệ khứ Trúc Đường Phạm lão kỷ hà nhật,(9: 12),Trúc Đường Phạm,
八 年 兩 制 敵 今 之 役 視 癸 酉 往 事 勝 一 籌,Bát niên lưỡng chế địch kim chi dịch thị Quí Dậu vãng sự thắng nhất trù,(9: 11),Quí Dậu,
忠 孝 有 真 傳 念 祖 國 念 同 胞 豈 忍 天 涯 遺 老 父,Trung hiếu hữu chân truyền niệm Tổ quốc niệm đồng bào khởi nhẫn thiên nhai di lão phụ,(6: 7),Tổ,
讀 四 千 年 歷 史 刺 客 傳 俠 客 傳 乃 君 為 開 卷 第 一 人 固 應日 月 星 辰 高 懸 姓 字,Độc tứ thiên niên lịch sử Thích khách truyện Hiệp khách truyện nãi quân vi khai quyển đệ nhất nhân cố ưng nhật nguyệt tinh thần cao huyền tính tự,"(6: 7), (9: 10)","Thích, Hiệp",
語 五 千 萬 同 胞 吾 民 仇 吾 國 仇 矧 汝 亦 亞 黃 真 貴 種 好 與江 山 城 郭 洗 凈 腥 羶,Ngữ ngũ thiên vạn đồng bào ngô dân cừu ngô quốc cừu thẩm nhữ diệc Á  hoàng chân quí chủng hảo dữ giang sơn thành quách tẩy tĩnh tinh chiên,(15: 16),Á,
問 汝 漢 姦 即 今 奴 隸 舞 臺 閉 幕 從 究 竟 何 如 夢 裏 昏 昏 偏怪 汝,Vấn nhữ Hán gian tức kim nô lệ vũ đài bế mạc hậu cứu cánh hà như mộng lý hôn hôn thiên quái nhữ,(2: 3),Hán,
會 看 戰 馬 南 旋 殄 仇 虜 慰 壯 心 寄 語 英 齡 有 作 九 原 應 默護,Hội kham chiến mã Nam toàn điển cừu lỗ ủy tráng tâm ký ngữ anh linh hữu tác cửu nguyên ưng mặc hộ,(4: 5),Nam,
愁 見 征 鴻 北 上 弔 中 原 談 舊 事 幾 經 艱 苦 無 情 二 豎 忍 相欺,Sầu kiến chinh hồng Bắc thượng điếu Trung nguyên đàm cựu sự kỷ kinh gian khổ vô tình nhị thụ nhẫn tương khi,"(4: 5), (7: 8)","Bắc, Trung",
見 君 之 去 不 見 君 之 還 他 年 奏 凱 聲 中 鴻 嶺 魚 峰 草 木 為君 齊 墜 淚,Kiến quân chi khứ bất kiến quân chi hoàn tha niên tấu khải thanh trung Hồng lĩnh Ngư phong thảo mộc vị quân tề trụy lệ,"(15: 16), (17: 18)","Hồng, Ngư",
與 我 同 來 寧 與 我 國 死 幾 度 飲 愁 杯 裏 盤 城 島 國 風 塵 剩我 最 傷 心,Dữ ngã đồng lai ninh dữ ngã đồng tử kỷ độ ẩm sầu bôi lý Bàn thành Đảo quốc phong trần thặng ngã tối thương tâm,"(15: 16), (17: 18)","Bàn, Đảo",
君 豈 其 虛 生 作 戲 於 世 耶 提 兵 三 稔 去 國 廿 餘 年 一 泣 於 英 一 泣 於 清 忽 忽 焉 大 泣 於 冬 誰 齡 思入 秋 風 向 我 神 京 埋 古 劍,Quân khởi kỳ hư sinh tác hí ư thế da đề binh tam nẫm khứ quốc trấp dư niên nhất khấp ư Anh nhất khấp ư Thanh hốt hốt yên đại đại khấp ư Đông thùy linh tứ nhập thu phong hướng ngã thần kinh mai cổ kiếm,"(22: 23), (26: 27), (34: 35)","Anh, Thanh, Đông",
崑 崙 島 面 積 若 幾 偏 容 許 多 人 奇 絕 奇 造 設 當 初 寧 問 有 期 與 無 期 波 中 湧 起 孤 峰 高高 高 留 個 英 雄 萬 古 宅,Côn Lôn đảo diện tích nhược kỷ thiên dung hứa đa nhân kỳ tuyệt kỳ tạo thiết đương sơ ninh vấn hữu kỳ dữ vô kỳ ba trung dũng khởi cô phong cao cao cao lưu cá anh hùng vạn cổ trạch,(0: 2),Côn Lôn,
大 越 國 血 購 得 來 所 值 只 一 死 怨 何 怨 流 離 此 日 不 以 歌 去 以哭 去 夢 裡 驚 呼 同 志 戰 戰 戰 還 我 山 河 獨 立 天,Đại Việt quốc huyết cấu đắc lai sở trị chỉ nhất tử oán hà oán lưu ly thử nhật bất dĩ ca khứ dĩ khốc khứ mộng lý kinh hô đồng chí chiến chiến chiến hoàn ngã sơn hà độc lập thiên,(0: 2),Đại Việt,
嗟 嗟 許 大 山 河 徵 王 不 作 趙 嫗 安 歸 翻 教 歷 史 數 千 年 多渠 一 死,Ta ta hứa đại sơn hà Trưng Vương bất tác Triệu Ẩu  an qui phiên giáo lịch sử sổ thiên niên đa cừ nhất tử,"(6: 8), (10: 12)","Trưng Vương, Triệu Ẩu",
咄 咄 成 何 世 界 沱 海 漲 羞 屏 山 凝 臭 忍 看 鬚 眉 幾 百 輩 與賊 俱 生,Đốt đốt thành hà thế giới Đà hải trướng tu Bình Sơn ngưng xú nhẫn khán tu mi kỷ bách bối dữ tặc câu sinh,"(6: 7), (10: 12)","Đà, Bình Sơn",
身 世 浮 沈 至 此 日 常 抱 鬱 鬱 孛 孛 奇 氣 欲 揮 吾 手 拔 崑 崙 山 平芹 徐 海 一 聲 語 姪 兒 海 外 身 先 同 志 厲 誅 仇,Thân thế phù trầm chí thử nhật thường bão uất uất bột bột kỳ khí dục huy ngô thủ bạt Côn Lôn sơn bình Cần Giờ hải nhất thanh ngữ diệt nhi hải ngoại thân tiên đồng chí lệ tru cừu,"(20: 22), (24: 26)","Côn Lôn, Cần Giờ",
自 攜 手 離 東 忽 七 年 間 風 雨 重 洋 關 山 萬 里 每 於 艱 險 地膽 為 酒 薪 為 床 時 對 心 言 生 斯 世 當 雄 之 飛 毋 雌 之 伏,Tự huề thủ ly Đông hốt thất niên gian phong vũ trùng dương quan sơn vạn lý mỗi ư gian hiểm địa đảm vi tửu tân vi sàng thời đối tâm ngôn sinh tư thế đương hùng chi phi vô thư chi phục,(4: 5),Đông,
暨 分 襟 而 西 已 一 載 半 鴈 音 竟 杳 鴻 爪 空 留 恍 於 夢 寐 中聲 如 雷 目 如 炬 來 告 予 曰 真 男 子 寧 玉 而 碎 毋 瓦 而 全,Ký phân khâm nhi Tây dĩ nhất tải bán nhạn âm cánh diểu hồng trảo không lưu hoảng như mộng mị trung thanh như lôi mục như cự lai cáo dư viết chân nam tử ninh ngọc nhi toái vô ngoã nhi toàn,(4: 5),Tây,
使 人 儘 如 君 者 茫 茫 全 亞 陸 奚 至 朝 歐 雲 暮 美 雨 把 四 百神 州 赤 縣 任 汝 縱 橫,Sử nhân tận như quân giả mang mang toàn Á  lục hề chí triêu Âu vân mộ Mỹ vũ bả tứ bách thần châu xích huyện nhậm nhữ tung hoành,"(9: 10), (14: 15), (17: 18)","Á, Âu, Mỹ",
一 腔 熱 血 竟 付 東 流 成 敗 局 人 奈 天 何 千 秋 淚 洒 珠 江 水,Nhất xoang nhiệt huyết cánh phó Đông lưu thành bại cục nhân nại thiên hà thiên thu lệ sái châu giang thủy,(6: 7),Đông,
十 歲 雄 圖 欲 翻 西 海 感 慨 場 今 猶 昨 也 萬 里 魂 馳 故 國 山,Thập tuế hùng đồ dục phiên Tây hải cảm khái trường kim do tạc dã vạn lý hồn trì cố quốc sơn,(6: 7),Tây,
且 欲 導 眾 生 於 天 國 有 為 之 因 必 有 為 之 果 憑 仗 天 齡 佛 力 會 須 看 塵 裏 歐 雲 毫 端 美雨 牧 場 那 復 計 東 西,Thả dục đạo chúng sinh ư thiên quốc hữu vi chi nhân tất hữu vi chi quả bằng trượng thiên linh Phật lực hội tu khán trần lý Âu vân hào đoan Mỹ vũ mục trường na phục kế đông tây,"(21: 22), (28: 29), (32: 33)","Phật, Âu, Mỹ",
錦 帨 動 金 風 王 母 稱 觴聯 巹 酒,Cẩm thuế động kim phong Vương mẫu xưng thương liên cẩn tửu,(5: 6),Vương,
七 秩 斑 衣 學 老 萊,Thất trật ban y học lão Lai,(6: 7),Lai,
北 海 開 宗 西 陵 獻 壽,Bắc hải khai tôn Tây lăng hiến thọ,(4: 5),Tây,
東 有 才 子 南 國 家 人,Đông hữu tài tử Nam quốc gia nhân,(4: 5),Nam,
海 屋 添 籌 金 丹 進 南 山 之 祝,Hải ốc thiên trù kim đan tiến Nam sơn chí chúc,(7: 8),Nam,
鳳 占 于 山 第 一 峰,Phượng chiếm Vu Sơn đệ nhất phong,(2: 4),Vu Sơn,
月 殿 先 登 晤 素 娥,Nguyệt điện tiên đăng ngộ Tố Nga,(5: 7),Tố Nga,
西域有聖人，教法長流萬世；,Tây Vực hữu thánh nhân giáo pháp trường lưu vạn thế,(0: 2),Tây Vực,
南天開福地，迦藍永振天軍,Nam Thiên khai phúc địa già lam vĩnh chấn thiên quân,(0: 2),Nam Thiên,
歷朝隆祀典名高南國最靈神,Lịch triều giáng tự điển danh cao Nam Quốc tối linh thần,(7: 9),Nam Quốc,
随處現祥光法妙西方無量佛,Tuỳ xứ hiện tường quang pháp diệu Tây phương vô lượng phật,(7: 8),Tây,
應三世隨緣代佛宣揚結集場中僧第一,Ứng tam thế tùy duyên đại Phật tuyên dương kết tập trường trung tăng đệ nhất,(6: 7),Phật,
般若慈航膠地合緣登覺路,Bát nhã từ hàng Giao địa hợp duyên đăng giác lộ,(4: 5),Giao,
菩提寶樹嘉林勝境發春花,Bồ đề bảo thụ Gia Lâm thắng cảnh phát xuân hoa,(4: 6),Gia Lâm,
慧燄重嚴頓演圓宗報恩盡合祖意,Tuệ diệm Trùng Nghiêm đốn diễn viên tông Báo Ân tận hợp tổ ý,"(2: 4), (8: 10)","Trùng Nghiêm, Báo Ân",
真源膠漆廣陳勝跡金山全露禪心,Chân nguyên Giao Tất quảng trần thắng tích Kim Sơn toàn lộ thiền tâm,"(2: 4), (8: 10)","Giao Tất, Kim Sơn",
鴻嶺萬年銘偉績,Hồng Lĩnh vạn niên minh vĩ tích,(0: 2),Hồng Lĩnh,
藍江千古涉恩波,Lam Giang thiên cổ thiệp ân ba,(0: 2),Lam Giang,
移山不忘愚公志,Di sơn bất vọng Ngu công chí,(4: 5),Ngu,
福 依 黨 恩 生,Phúc y Đảng ân sinh,(2: 3),Đảng,
銀 漢 橋 成 牛 女 渡,Ngân Hán kiều thành Ngưu Nữ độ,"(0: 2), (4: 6)","Ngân Hán, Ngưu Nữ",
玉井年新湧泉舟聚,Ngọc tĩnh niên tân Trọc tuyển chu tụ,(4: 5),Trọc,
香山春色生涯日佳,Hương Sơn xuân sắc sinh khai nhật giai,(0: 2),Hương Sơn,
紅杏村中酒,Hồng Hạnh thôn trung tửu,(0: 2),Hồng Hạnh,
紫山頂上茶,Mông Sơn đỉnh thượng trà,(0: 2),Mông Sơn,
經史為田尊杜孟,Kinh sử vi điền tôn Đỗ Mạnh,(5: 7),Đỗ Mạnh,
龍岡立表便歐陽,Long cương lập biểu tiện Âu Dương,(5: 7),Âu Dương,
丹駕自天來扶郭以前開李帝,Đan giá tự thiên lai thành quách dĩ tiến khai Lý đế,(10: 11),Lý,
一聲從大振山河後擾笑高王,Nhất thanh tống đại chấn sơn hà y cựu tiếu Cao vương,(10: 11),Cao,
南海聖神西土佛,Nam Hải thánh thần Tây thổ Phật,"(0: 2), (4: 5), (6: 7)","Nam Hải, Tây, Phật",
文林山水太圓得,Văn Lâm sơn thủy Thái Vi từ,"(0: 2), (4: 6)","Văn Lâm, Thái Vi",
天啟聖明黎前李後,Thiên khởi thánh minh Lê tiền Lý hậu,"(4: 5), (6: 7)","Lê, Lý",
地鐘神秀檜嶺梧江,Địa chung thần tú Cối lĩnh Ngô giang,"(4: 5), (6: 7)","Cối, Ngô",
八寶單書通北極,Bát bảo xa thư thông Bắc cực,(5: 6),Bắc,
